2026-08-31 20:53:08,342 INFO pyjab init jab
2026-08-31 20:53:08,355 INFO pyjab init jab success
00 | frame            | Sistema Unico Provincial de Administracion de Personal |  | -8,-8,1296,736 | action=False
10 | menu item        | Resumen de Asistencias y Novedades nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | separator        |  |  | -1,-1,-1,-1 | action=False
10 | menu             | Consultas y Listados nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu             | Preocupacional nemotécnico P |  | -1,-1,-1,-1 | action=True
10 | menu item        | Examenes Medicos nemotécnico E |  | -1,-1,-1,-1 | action=True
10 | menu             | Accidentes nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Consultas a Exportar nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Administración del Hospital nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Proponer agentes nemotécnico P |  | -1,-1,-1,-1 | action=True
10 | menu item        | Administración nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Nuevo Trámite nemotécnico N |  | -1,-1,-1,-1 | action=True
10 | menu item        | Afectar agentes a un trámite - Trámite masivo nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Totales nemotécnico T |  | -1,-1,-1,-1 | action=True
10 | menu item        | Sumarios Administrativos nemotécnico u |  | -1,-1,-1,-1 | action=True
10 | menu item        | Regimen Disciplinario nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | menu item        | Días de sanción por agente nemotécnico D |  | -1,-1,-1,-1 | action=True
10 | menu             | Consultas y Listados nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu             | Regimen Disciplinario nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | menu item        | Manuales y Videos nemotécnico M |  | -1,-1,-1,-1 | action=True
10 | menu item        | Informe de Destinos nemotécnico I |  | -1,-1,-1,-1 | action=True
10 | menu item        | Informe de Lic.x Exp/Sanciones nemotécnico I |  | -1,-1,-1,-1 | action=True
10 | menu item        | Cascada nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Mosaico Horizontal nemotécnico H |  | -1,-1,-1,-1 | action=True
10 | menu item        | Mosaico Vertical nemotécnico M |  | -1,-1,-1,-1 | action=True
10 | separator        |  |  | -1,-1,-1,-1 | action=False
10 | panel            |  |  | -1,-1,-1,-1 | action=False
11 | panel            |  |  | 203,210,1000,490 | action=False
11 | panel            |  |  | -1,-1,-1,-1 | action=False
11 | panel            |  |  | 3,103,969,580 | action=False
11 | panel            |  |  | -1,-1,-1,-1 | action=False
11 | panel            |  |  | 4,1303,1,-2 | action=False
11 | panel            |  |  | -1,-1,-1,-1 | action=False
11 | menu item        | Solicitud de Licencias nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Solicitudes Pendientes de Resolución nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Permanencia por Reloj nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Novedades de Asistencia nemotécnico N |  | -1,-1,-1,-1 | action=True
11 | menu item        | Mi Planilla de Asistencia nemotécnico M |  | -1,-1,-1,-1 | action=True
11 | menu item        | Personas a mi Cargo nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Mi Responsable de Asistencia nemotécnico M |  | -1,-1,-1,-1 | action=True
11 | menu item        | Personas por Estructura nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Plantel Nominado nemotécnico N |  | -1,-1,-1,-1 | action=True
11 | menu item        | Plantel Innominado nemotécnico I |  | -1,-1,-1,-1 | action=True
11 | menu item        | Plantel Nominado por Acto de Nombramiento nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Pantel Temporario Designado nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Plantel Designado Ley 10592 nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Plantel Nominado Reservado nemotécnico R |  | -1,-1,-1,-1 | action=True
11 | separator        |  |  | -1,-1,-1,-1 | action=False
11 | menu item        | Agentes por Partido nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Agentes sin Lugar de Prestacion de Servicio nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Bajas Preventivas Sin Acto nemotécnico B |  | -1,-1,-1,-1 | action=True
11 | menu item        | Cantidad Total Agentes nemotécnico C |  | -1,-1,-1,-1 | action=True
11 | separator        |  |  | -1,-1,-1,-1 | action=False
11 | menu item        | Resumen Situación de Organismos nemotécnico R |  | -1,-1,-1,-1 | action=True
11 | separator        |  |  | -1,-1,-1,-1 | action=False
11 | menu item        | Estadísticas nemotécnico E |  | -1,-1,-1,-1 | action=True
11 | menu item        | Novedades de Ausentismo nemotécnico N |  | -1,-1,-1,-1 | action=True
11 | menu item        | Planilla de Asistencia nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | separator        |  |  | -1,-1,-1,-1 | action=False
11 | menu item        | Fichadas de Agentes a Cargo nemotécnico F |  | -1,-1,-1,-1 | action=True
11 | menu item        | Gestión del Tiempo nemotécnico G |  | -1,-1,-1,-1 | action=True
11 | menu item        | Irregularidades nemotécnico I |  | -1,-1,-1,-1 | action=True
11 | menu item        | Fichadas de Agentes nemotécnico F |  | -1,-1,-1,-1 | action=True
11 | separator        |  |  | -1,-1,-1,-1 | action=False
11 | menu             | Administración nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Resumen Diario de Novedades nemotécnico R |  | -1,-1,-1,-1 | action=True
11 | menu item        | Personas con Novedades nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Personas - Cantidad de Ausencias nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Ausentismo nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Listado de Inasistencias nemotécnico L |  | -1,-1,-1,-1 | action=True
11 | menu item        | Remito de Carpetas Médicas nemotécnico R |  | -1,-1,-1,-1 | action=True
11 | menu item        | Informe de Bajas Preventivas nemotécnico I |  | -1,-1,-1,-1 | action=True
11 | menu item        | Carpetas Médicas nemotécnico C |  | -1,-1,-1,-1 | action=True
11 | menu item        | Agentes por Destino nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Destino - Agente nemotécnico D |  | -1,-1,-1,-1 | action=True
11 | menu item        | Carpetas Médicas Pendientes nemotécnico C |  | -1,-1,-1,-1 | action=True
11 | menu item        | Personas que adeudan Prestación de Servicios nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Partes Diarios Enviados nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Pendientes de Justificar nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Solicitar Turnos nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Sugerir Turno nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Seguimiento nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Accidentes en Trámite nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Sumarios Por Persona nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Regimen por Expediente nemotécnico R |  | -1,-1,-1,-1 | action=True
11 | menu item        | Listado Regimen Disciplinario nemotécnico L |  | -1,-1,-1,-1 | action=True
11 | menu item        | Administración nemotécnico A |  | -1,-1,-1,-1 | action=True
12 | panel            |  |  | 203,210,1000,0 | action=False
12 | panel            |  |  | 203,210,0,490 | action=False
12 | scroll pane      |  |  | 203,210,1000,490 | action=False
12 | panel            |  |  | -1,-1,-1,-1 | action=False
12 | panel            |  |  | -1,-1,-1,-1 | action=False
12 | scroll pane      |  |  | -1,-1,-1,-1 | action=False
12 | panel            |  |  | 3,103,969,0 | action=False
12 | panel            |  |  | 3,103,0,580 | action=False
12 | scroll pane      |  |  | 3,103,969,580 | action=False
12 | panel            |  |  | -1,-1,-1,-1 | action=False
12 | panel            |  |  | -1,-1,-1,-1 | action=False
12 | scroll pane      |  |  | -1,-1,-1,-1 | action=False
12 | panel            |  |  | 4,1303,1,0 | action=False
12 | panel            |  |  | 4,1303,0,-2 | action=False
12 | scroll pane      |  |  | 4,1303,1,-2 | action=False
12 | panel            |  |  | -1,-1,-1,-1 | action=False
12 | panel            |  |  | -1,-1,-1,-1 | action=False
12 | scroll pane      |  |  | -1,-1,-1,-1 | action=False
12 | menu item        | Configuración - Procesamiento nemotécnico C |  | -1,-1,-1,-1 | action=True
13 | panel            |  |  | 203,210,1000,0 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | viewport         |  |  | 203,210,1000,490 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | viewport         |  |  | -1,-1,-1,-1 | action=False
13 | panel            |  |  | 3,103,969,0 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | viewport         |  |  | 3,103,969,580 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | viewport         |  |  | -1,-1,-1,-1 | action=False
13 | panel            |  |  | 4,1303,1,0 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | viewport         |  |  | 4,1303,1,-2 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | viewport         |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | 203,210,1000,493 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | 3,103,976,591 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | 4,1301,784,485 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
15 | scroll pane      |  |  | 203,210,1000,493 | action=False
15 | scroll pane      |  |  | 3,103,976,591 | action=False
15 | scroll pane      |  |  | 4,1301,784,485 | action=False
16 | viewport         |  |  | 203,210,1000,493 | action=False
16 | viewport         |  |  | 3,103,976,591 | action=False
16 | viewport         |  |  | 4,1301,784,485 | action=False
17 | panel            |  |  | 203,210,1000,493 | action=False
17 | panel            |  |  | 3,103,976,591 | action=False
17 | panel            |  |  | 4,1301,784,485 | action=False
18 | scroll bar       |  |  | 1143,370,20,263 | action=False
18 | text             | 4 caracteres como mínimo | 4 caracteres como mínimo | 443,250,368,24 | action=False
18 | text             |  |  | 443,290,67,24 | action=False
18 | push button      | ... | ... | 516,289,24,24 | action=True
18 | text             |  |  | 550,290,118,24 | action=False
18 | panel            |  |  | 415,254,24,19 | action=False
18 | panel            |  |  | 415,290,20,19 | action=False
18 | push button      | BUSCAR | BUSCAR | 994,275,133,30 | action=True
18 | text             | APELLIDO Y NOMBRE | APELLIDO Y NOMBRE | 243,370,233,24 | action=False
18 | text             | APELLIDO Y NOMBRE | APELLIDO Y NOMBRE | 243,394,233,24 | action=False
18 | text             | APELLIDO Y NOMBRE | APELLIDO Y NOMBRE | 243,418,233,24 | action=False
18 | text             | APELLIDO Y NOMBRE | APELLIDO Y NOMBRE | 243,442,233,24 | action=False
18 | text             | APELLIDO Y NOMBRE | APELLIDO Y NOMBRE | 243,466,233,24 | action=False
18 | text             | APELLIDO Y NOMBRE | APELLIDO Y NOMBRE | 243,490,233,24 | action=False
18 | text             | APELLIDO Y NOMBRE | APELLIDO Y NOMBRE | 243,514,233,24 | action=False
18 | text             | APELLIDO Y NOMBRE | APELLIDO Y NOMBRE | 243,538,233,24 | action=False
18 | text             | APELLIDO Y NOMBRE | APELLIDO Y NOMBRE | 243,562,233,24 | action=False
18 | text             | APELLIDO Y NOMBRE | APELLIDO Y NOMBRE | 243,586,233,24 | action=False
18 | text             | APELLIDO Y NOMBRE | APELLIDO Y NOMBRE | 243,610,233,24 | action=False
18 | text             | ROL | ROL | 827,370,40,24 | action=False
18 | text             | ROL | ROL | 827,394,40,24 | action=False
18 | text             | ROL | ROL | 827,418,40,24 | action=False
18 | text             | ROL | ROL | 827,442,40,24 | action=False
18 | text             | ROL | ROL | 827,466,40,24 | action=False
18 | text             | ROL | ROL | 827,490,40,24 | action=False
18 | text             | ROL | ROL | 827,514,40,24 | action=False
18 | text             | ROL | ROL | 827,538,40,24 | action=False
18 | text             | ROL | ROL | 827,562,40,24 | action=False
18 | text             | ROL | ROL | 827,586,40,24 | action=False
18 | text             | ROL | ROL | 827,610,40,24 | action=False
18 | text             | LEGAJO | LEGAJO | 479,370,80,24 | action=False
18 | text             | LEGAJO | LEGAJO | 479,394,80,24 | action=False
18 | text             | LEGAJO | LEGAJO | 479,418,80,24 | action=False
18 | text             | LEGAJO | LEGAJO | 479,442,80,24 | action=False
18 | text             | LEGAJO | LEGAJO | 479,466,80,24 | action=False
18 | text             | LEGAJO | LEGAJO | 479,490,80,24 | action=False
18 | text             | LEGAJO | LEGAJO | 479,514,80,24 | action=False
18 | text             | LEGAJO | LEGAJO | 479,538,80,24 | action=False
18 | text             | LEGAJO | LEGAJO | 479,562,80,24 | action=False
18 | text             | LEGAJO | LEGAJO | 479,586,80,24 | action=False
18 | text             | LEGAJO | LEGAJO | 479,610,80,24 | action=False
18 | text             | TIPO NRO. DOCUMENTO | TIPO NRO. DOCUMENTO | 563,370,53,24 | action=False
18 | text             | TIPO NRO. DOCUMENTO | TIPO NRO. DOCUMENTO | 563,394,53,24 | action=False
18 | text             | TIPO NRO. DOCUMENTO | TIPO NRO. DOCUMENTO | 563,418,53,24 | action=False
18 | text             | TIPO NRO. DOCUMENTO | TIPO NRO. DOCUMENTO | 563,442,53,24 | action=False
18 | text             | TIPO NRO. DOCUMENTO | TIPO NRO. DOCUMENTO | 563,466,53,24 | action=False
18 | text             | TIPO NRO. DOCUMENTO | TIPO NRO. DOCUMENTO | 563,490,53,24 | action=False
18 | text             | TIPO NRO. DOCUMENTO | TIPO NRO. DOCUMENTO | 563,514,53,24 | action=False
18 | text             | TIPO NRO. DOCUMENTO | TIPO NRO. DOCUMENTO | 563,538,53,24 | action=False
18 | text             | TIPO NRO. DOCUMENTO | TIPO NRO. DOCUMENTO | 563,562,53,24 | action=False
18 | text             | TIPO NRO. DOCUMENTO | TIPO NRO. DOCUMENTO | 563,586,53,24 | action=False
18 | text             | TIPO NRO. DOCUMENTO | TIPO NRO. DOCUMENTO | 563,610,53,24 | action=False
18 | text             |  |  | 620,370,94,24 | action=False
18 | text             |  |  | 620,394,94,24 | action=False
18 | text             |  |  | 620,418,94,24 | action=False
18 | text             |  |  | 620,442,94,24 | action=False
18 | text             |  |  | 620,466,94,24 | action=False
18 | text             |  |  | 620,490,94,24 | action=False
18 | text             |  |  | 620,514,94,24 | action=False
18 | text             |  |  | 620,538,94,24 | action=False
18 | text             |  |  | 620,562,94,24 | action=False
18 | text             |  |  | 620,586,94,24 | action=False
18 | text             |  |  | 620,610,94,24 | action=False
18 | text             | CUIT - CUIL | CUIT - CUIL | 716,370,107,24 | action=False
18 | text             | CUIT - CUIL | CUIT - CUIL | 716,394,107,24 | action=False
18 | text             | CUIT - CUIL | CUIT - CUIL | 716,418,107,24 | action=False
18 | text             | CUIT - CUIL | CUIT - CUIL | 716,442,107,24 | action=False
18 | text             | CUIT - CUIL | CUIT - CUIL | 716,466,107,24 | action=False
18 | text             | CUIT - CUIL | CUIT - CUIL | 716,490,107,24 | action=False
18 | text             | CUIT - CUIL | CUIT - CUIL | 716,514,107,24 | action=False
18 | text             | CUIT - CUIL | CUIT - CUIL | 716,538,107,24 | action=False
18 | text             | CUIT - CUIL | CUIT - CUIL | 716,562,107,24 | action=False
18 | text             | CUIT - CUIL | CUIT - CUIL | 716,586,107,24 | action=False
18 | text             | CUIT - CUIL | CUIT - CUIL | 716,610,107,24 | action=False
18 | text             | ORGANISMO | ORGANISMO | 870,370,266,24 | action=False
18 | text             | ORGANISMO | ORGANISMO | 870,394,266,24 | action=False
18 | text             | ORGANISMO | ORGANISMO | 870,418,266,24 | action=False
18 | text             | ORGANISMO | ORGANISMO | 870,442,266,24 | action=False
18 | text             | ORGANISMO | ORGANISMO | 870,466,266,24 | action=False
18 | text             | ORGANISMO | ORGANISMO | 870,490,266,24 | action=False
18 | text             | ORGANISMO | ORGANISMO | 870,514,266,24 | action=False
18 | text             | ORGANISMO | ORGANISMO | 870,538,266,24 | action=False
18 | text             | ORGANISMO | ORGANISMO | 870,562,266,24 | action=False
18 | text             | ORGANISMO | ORGANISMO | 870,586,266,24 | action=False
18 | text             | ORGANISMO | ORGANISMO | 870,610,266,24 | action=False
18 | push button      | ACEPTAR | ACEPTAR | 831,651,120,27 | action=True
18 | push button      | CANCELAR | CANCELAR | 994,651,120,27 | action=True
18 | scroll bar       |  |  | 918,240,18,362 | action=False
18 | text             | Apellido y Nombre  | Apellido y Nombre  | 179,172,352,27 | action=False
18 | text             |  |  | 20,244,16,24 | action=False
18 | text             |  |  | 20,268,16,24 | action=False
18 | text             |  |  | 20,292,16,24 | action=False
18 | text             |  |  | 20,316,16,24 | action=False
18 | text             |  |  | 20,340,16,24 | action=False
18 | text             |  |  | 20,364,16,24 | action=False
18 | text             |  |  | 20,388,16,24 | action=False
18 | text             |  |  | 20,412,16,24 | action=False
18 | text             |  |  | 20,436,16,24 | action=False
18 | text             |  |  | 20,460,16,24 | action=False
